Assay	DateCollect	TypeSample	TimeAnesth	ClampTime	SampleRemovalTime	WarmIsch	TransfConditions	TransferTime	TimeFixFreezeDissociate	ColdIsch	TimeDissociation	MethodDissociation	SpecimenSize	PostmortemTime	DurationFix	TypeFix	TempFix	DurationDecalci	DecalciMethod	SectionThick	SlideType	PerTumor	PerNeoplasticNuclei	PerTumorNecrosis	PerNotNeoplastStroma	PerAcellularMucin	TILs	DateShip	TempShip	DateReceiv	TempStoreBlock	TempStoreTissue	DurationStoreBlock	TempStoreSlide	DurationStoreSlide
10XChromium	2	2	0	0	2	0	1	0	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	0	0
ATAC-Seq	2	2	0	0	1	0	1	0	1	1	2	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
CITE-Seq (in the context of Perturb-CITE-Seq)	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Clinical IHC	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
CODEX	4	4	0	0	3	0	3	2	3	2	1	1	4	1	2	2	2	0	0	4	4	4	3	4	3	3	3	3	3	4	2	4	2	4	4
"t-CyCIF, multi-round multiplex tissue immunofluorescence"	4	4	0	0	3	0	2	1	3	3	1	1	3	1	4	4	4	0	0	4	4	3	3	3	2	2	3	3	3	4	3	3	3	3	3
DNA methylation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA Microscopy	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ex vivo MR imaging	2	2	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Ex-SEQ	3	3	0	0	3	0	3	3	3	3	0	0	3	0	3	3	6	0	0	3	3	3	3	3	3	3	3	3	3	3	0	3	1	3	3
Focused Ion-Beam Scanning Electron Microscopy (FIB-SEM)	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0
H&E	7	7	0	0	5	0	3	2	5	4	1	1	5	2	6	7	6	1	1	7	6	5	5	6	5	5	4	5	4	6	5	5	6	5	5
HMIF (Not CyCIF)	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
multiplex IHC (mIHC)	2	2	0	0	1	0	1	0	1	1	1	1	1	1	2	2	2	0	0	2	2	1	1	1	0	0	1	1	1	2	1	1	1	1	1
IMC	2	2	0	0	1	0	1	0	1	1	1	1	2	1	2	2	2	0	0	2	2	1	0	1	0	0	0	0	0	1	2	2	2	2	2
LCM DNA-seq	1	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1
LCM RNA-seq	1	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1
MERFISH	4	4	0	0	3	0	3	2	3	2	1	1	3	2	3	3	3	0	0	4	4	3	2	3	2	2	2	2	2	3	1	4	1	3	3
Metabolomic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIBI	4	4	0	0	3	0	2	2	3	2	1	1	3	1	3	4	3	1	1	4	4	2	2	2	2	2	3	2	2	2	3	3	4	3	3
microbial FISH	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
mIF	4	4	0	0	3	0	1	1	4	1	1	1	4	0	4	4	3	0	0	4	4	3	3	3	3	3	3	3	3	3	3	4	4	4	4
multiplex FISH	3	3	0	0	3	0	1	1	3	2	1	1	3	0	3	3	3	0	0	3	3	2	2	2	2	2	2	2	2	2	2	3	3	3	3
Multiplex Flow cytometry	1	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1
NanoString GeoMx DSP human IO high-plex RNA	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NanoString GeoMx DSP human IO protein	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Proteomics	1	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reverse Phase Protein Arrays (RPPA)	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0
RNA in situ	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RNA sequencing	8	8	0	0	6	0	3	0	7	5	3	3	7	1	3	3	4	0	0	2	2	2	3	3	2	2	2	6	6	7	2	6	2	2	2
scRNA-Seq (droplet)	3	3	0	0	3	0	2	1	3	3	2	3	2	1	1	1	2	0	0	1	0	1	1	2	2	1	3	2	2	2	0	2	1	1	1
scRNA-seq (plate)	4	4	0	0	3	0	3	1	3	2	4	4	4	1	0	0	2	0	0	0	0	0	0	2	1	0	1	2	2	3	1	3	0	0	0
Slide-seq	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1
snmC-Seq / snmC-Seq2	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
snRNA-Seq (droplet)	2	2	0	0	2	0	2	0	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0	1	1	0	2	2	2	2	0	2	0	0	0
snRNA-seq (plate)	5	5	0	0	4	0	3	0	4	3	5	5	5	1	1	1	3	0	0	1	1	1	1	3	2	1	3	3	3	4	1	4	0	0	0
sci-ATAC-seq (single-cell combinatorial indexing Assay for Transposase Accessible Chromatin by sequencing)	3	3	0	0	2	0	1	0	2	2	1	3	1	2	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	2	0	2	0	1	0
Spatial transcriptomics	3	3	0	0	3	0	2	2	3	2	0	0	2	1	0	0	0	0	0	3	3	2	2	2	2	2	2	2	2	2	0	3	0	2	2
Targeted DNA sequencing	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0
